backend,sweep_type,param_value,trial_num,latency_ms,response_bytes,timestamp,warmup
neo4j,fanout,100,0,9.88,6986,1781277602.4283268,1
neo4j,fanout,100,1,8.24,6986,1781277602.4365962,1
neo4j,fanout,100,0,7.589,6985,1781277602.4442108,0
neo4j,fanout,100,1,6.286,6986,1781277602.450521,0
neo4j,fanout,250,0,9.009,16100,1781277602.6060746,1
neo4j,fanout,250,1,8.564,16099,1781277602.6146648,1
neo4j,fanout,250,0,8.528,16100,1781277602.6232195,0
neo4j,fanout,250,1,13.446,16101,1781277602.636691,0
neo4j,fanout,500,0,13.687,31108,1781277602.8565383,1
neo4j,fanout,500,1,12.709,31108,1781277602.8692856,1
neo4j,fanout,500,0,11.465,31108,1781277602.8807886,0
neo4j,fanout,500,1,60.681,31109,1781277602.9415085,0
neo4j,fanout,750,0,15.266,50364,1781277603.1668046,1
neo4j,fanout,750,1,71.989,50364,1781277603.2388318,1
neo4j,fanout,750,0,14.72,50364,1781277603.2535892,0
neo4j,fanout,750,1,14.258,50364,1781277603.267883,0
neo4j,fanout,1000,0,70.194,66719,1781277603.5472043,1
neo4j,fanout,1000,1,14.444,66718,1781277603.561678,1
neo4j,fanout,1000,0,13.454,66718,1781277603.5751584,0
neo4j,fanout,1000,1,11.951,66718,1781277603.587135,0
