backend,sweep_type,param_value,trial_num,latency_ms,response_bytes,timestamp,warmup
postgres,fanout,100,0,3.645,6835,1781275978.9722915,1
postgres,fanout,100,1,3.304,6835,1781275978.9756196,1
postgres,fanout,100,0,3.165,6835,1781275978.9788022,0
postgres,fanout,100,1,2.607,6835,1781275978.981426,0
postgres,fanout,250,0,3.54,15569,1781275979.1551144,1
postgres,fanout,250,1,3.889,15568,1781275979.1590242,1
postgres,fanout,250,0,3.948,15569,1781275979.1629899,0
postgres,fanout,250,1,3.567,15569,1781275979.1665726,0
postgres,fanout,500,0,4.825,30077,1781275979.488954,1
postgres,fanout,500,1,4.598,30077,1781275979.4935706,1
postgres,fanout,500,0,4.83,30077,1781275979.4984176,0
postgres,fanout,500,1,4.472,30077,1781275979.5029056,0
postgres,fanout,750,0,6.24,48949,1781275979.8862784,1
postgres,fanout,750,1,6.096,48949,1781275979.8923955,1
postgres,fanout,750,0,6.184,48949,1781275979.898597,0
postgres,fanout,750,1,5.921,48949,1781275979.904535,0
postgres,fanout,1000,0,7.342,64777,1781275980.382653,1
postgres,fanout,1000,1,7.414,64777,1781275980.3900874,1
postgres,fanout,1000,0,7.557,64777,1781275980.3976622,0
postgres,fanout,1000,1,7.961,64777,1781275980.4056404,0
