backend,sweep_type,param_value,trial_num,latency_ms,response_bytes,timestamp,warmup
sqlalchemy,fanout,100,0,5.521,6636,1781277725.8671184,1
sqlalchemy,fanout,100,1,5.341,6636,1781277725.8724837,1
sqlalchemy,fanout,100,0,5.105,6636,1781277725.8776073,0
sqlalchemy,fanout,100,1,5.062,6636,1781277725.8826878,0
sqlalchemy,fanout,250,0,7.143,15186,1781277726.1796498,1
sqlalchemy,fanout,250,1,6.944,15186,1781277726.1866133,1
sqlalchemy,fanout,250,0,6.834,15186,1781277726.1934648,0
sqlalchemy,fanout,250,1,7.068,15186,1781277726.20055,0
sqlalchemy,fanout,500,0,9.509,29334,1781277726.6125474,1
sqlalchemy,fanout,500,1,9.57,29334,1781277726.6221387,1
sqlalchemy,fanout,500,0,24.881,29335,1781277726.6470435,0
sqlalchemy,fanout,500,1,9.804,29334,1781277726.6568713,0
sqlalchemy,fanout,750,0,12.47,47746,1781277727.0260656,1
sqlalchemy,fanout,750,1,12.529,47746,1781277727.0386164,1
sqlalchemy,fanout,750,0,12.526,47746,1781277727.0511618,0
sqlalchemy,fanout,750,1,12.245,47745,1781277727.0634248,0
sqlalchemy,fanout,1000,0,15.303,63196,1781277727.7837875,1
sqlalchemy,fanout,1000,1,15.07,63196,1781277727.7988794,1
sqlalchemy,fanout,1000,0,15.163,63196,1781277727.8140624,0
sqlalchemy,fanout,1000,1,14.864,63196,1781277727.8289456,0
